"OTU","Treatment","Day","log2FoldChange","p"
"OTU.80","13CXPS","30",-0.744991463797904,0.999844751779366
"OTU.93","13CXPS","30",0.417277303096273,0.593628365454823
"OTU.106","13CXPS","30",0.498332233515503,0.501887698998722
"OTU.69","13CXPS","30",-0.0514632844067371,0.946710291642704
"OTU.216","13CXPS","30",0.21447813429423,0.791306420772287
"OTU.3388","13CXPS","30",-0.279112338464349,0.988299161003072
"OTU.360","13CXPS","30",-0.000817595442287366,0.925492492967734
"OTU.275","13CXPS","30",0.242938616845878,0.771689481216118
"OTU.4614","13CXPS","30",0.283035130505101,0.731775606396772
"OTU.91","13CXPS","30",-0.174585618758028,0.97428035721266
"OTU.99","13CXPS","30",-0.339449959738739,0.992563453483665
"OTU.145","13CXPS","30",0.0449136937511168,0.903524749918317
"OTU.697","13CXPS","30",0.23655678640371,0.772457138477017
"OTU.242","13CXPS","30",-0.388873028150464,0.994338563457212
"OTU.2338","13CXPS","30",0.358550326273501,0.658291042303345
"OTU.147","13CXPS","30",0.150657862832988,0.845230674023938
"OTU.419","13CXPS","30",-0.00931152714371672,0.927287189720187
"OTU.5980","13CXPS","30",0.112304159990842,0.868412506626457
"OTU.72","13CXPS","30",-0.621993112553515,0.999517245473124
"OTU.570","13CXPS","30",0.270697553959377,0.743828320452276
"OTU.159","13CXPS","30",-0.200342681951194,0.980733573089031
"OTU.131","13CXPS","30",0.0810566355577415,0.883381687556726
"OTU.107","13CXPS","30",0.0118872008068988,0.92090299870427
"OTU.2379","13CXPS","30",-0.0193121740217876,0.933023196659589
"OTU.14","13CXPS","30",0.495604270036149,0.505324961373532
"OTU.6203","13CXPS","30",0.191762967246613,0.813875799221706
"OTU.865","13CXPS","30",-0.276274793993501,0.987762952801215
"OTU.95","13CXPS","30",0.124867088824784,0.860322253936868
"OTU.338","13CXPS","30",0.52622857916914,0.469725761806078
"OTU.305","13CXPS","30",0.262833488555301,0.749279664057286
"OTU.294","13CXPS","30",0.0169101534856225,0.914864921627985
"OTU.648","13CXPS","30",-0.204548997193925,0.978440197274569
"OTU.650","13CXPS","30",0.377335474437842,0.636172240089559
"OTU.1292","13CXPS","30",0.533626030270437,0.462045698652789
"OTU.473","13CXPS","30",0.062689012090675,0.892424417252645
"OTU.476","13CXPS","30",-0.0411459943341692,0.938275114231676
"OTU.408","13CXPS","30",0.475637753456261,0.527570477970696
"OTU.767","13CXPS","30",0.256781836839106,0.754790634299047
"OTU.1135","13CXPS","30",0.104365928869388,0.877514319346987
"OTU.351","13CXPS","30",0.617563432895884,0.36229361064145
"OTU.217","13CXPS","30",0.411132277688156,0.601926821456054
"OTU.356","13CXPS","30",0.35104837713636,0.66702887176466
"OTU.700","13CXPS","30",0.331984771713752,0.682561663378266
"OTU.484","13CXPS","30",0.110846459925815,0.86649353912303
"OTU.1062","13CXPS","30",0.391834477019953,0.619955306206614
"OTU.285","13CXPS","30",0.351955348806437,0.66402483039847
"OTU.3196","13CXPS","30",0.318841207971953,0.699006534696955
"OTU.256","13CXPS","30",0.136017058466534,0.856147915600086
"OTU.5670","13CXPS","30",0.596963130771445,0.391837359018012
"OTU.619","13CXPS","30",-0.0389088424469129,0.937478263372344
"OTU.499","13CXPS","30",0.291899075673794,0.722022481600093
"OTU.427","13CXPS","30",0.857783953433365,0.156184281217822
"OTU.579","13CXPS","30",0.0768268975412877,0.886306936851994
"OTU.1470","13CXPS","30",0.156508833986407,0.834350731721904
"OTU.554","13CXPS","30",0.290091243712597,0.726024752445221
"OTU.1247","13CXPS","30",0.601255055998222,0.387557591920195
"OTU.436","13CXPS","30",0.302741959860098,0.711664302656507
"OTU.410","13CXPS","30",0.602921180077681,0.385758308723564
"OTU.425","13CXPS","30",0.448705220759977,0.55750721586602
"OTU.814","13CXPS","30",0.46812947612958,0.536119503775026
"OTU.622","13CXPS","30",0.388834886960548,0.623175712954999
"OTU.1313","13CXPS","30",0.281180290168251,0.73462015930312
"OTU.313","13CXPS","30",0.48769772759056,0.514281557763259
"OTU.780","13CXPS","30",0.0771090426766485,0.886617059059622
"OTU.117","13CXPS","30",-0.601631409150335,0.999697440104803
"OTU.1001","13CXPS","30",-0.0889552210817892,0.953273720689223
"OTU.455","13CXPS","30",-0.101271202055255,0.962007830135222
"OTU.5580","13CXPS","30",0.0520237485819728,0.898258539448785
"OTU.547","13CXPS","30",0.530730002264278,0.465094054733405
