OTU,shift,Day,Treatment
OTU.3560,,30,13CCSS
OTU.3561,,30,13CCSS
OTU.3566,,30,13CCSS
OTU.3567,,30,13CCSS
OTU.3564,,30,13CCSS
OTU.3565,,30,13CCSS
OTU.5559,0.008448880290863103,30,13CCSS
OTU.3568,,30,13CCSS
OTU.3569,-0.0011753274163055494,30,13CCSS
OTU.5558,,30,13CCSS
OTU.6233,,30,13CCSS
OTU.2437,,30,13CCSS
OTU.6232,-0.008977081088698657,30,13CCSS
OTU.2436,-0.009450602983367418,30,13CCSS
OTU.979,0.024216206447866817,30,13CCSS
OTU.978,0.02045154069377153,30,13CCSS
OTU.977,-0.022707905976489196,30,13CCSS
OTU.976,-0.0013264783594009177,30,13CCSS
OTU.975,,30,13CCSS
OTU.974,0.0029009493698783917,30,13CCSS
OTU.973,0.01772713799032144,30,13CCSS
OTU.972,0.006393468509905853,30,13CCSS
OTU.971,0.02655874225199506,30,13CCSS
OTU.970,0.012627426172706402,30,13CCSS
OTU.2435,0.007229761398708234,30,13CCSS
OTU.6156,0.026233284363810006,30,13CCSS
OTU.6157,,30,13CCSS
OTU.5533,,30,13CCSS
OTU.5532,,30,13CCSS
OTU.5531,,30,13CCSS
OTU.5530,,30,13CCSS
OTU.5537,,30,13CCSS
OTU.5536,,30,13CCSS
OTU.2215,,30,13CCSS
OTU.2214,-0.011493143641572168,30,13CCSS
OTU.2749,,30,13CCSS
OTU.2748,0.010209955972813045,30,13CCSS
OTU.5539,,30,13CCSS
OTU.2218,,30,13CCSS
OTU.6158,,30,13CCSS
OTU.5802,,30,13CCSS
OTU.6159,,30,13CCSS
OTU.2438,,30,13CCSS
OTU.4378,,30,13CCSS
OTU.4379,,30,13CCSS
OTU.4372,,30,13CCSS
OTU.4373,,30,13CCSS
OTU.4370,,30,13CCSS
OTU.4371,,30,13CCSS
OTU.4376,,30,13CCSS
OTU.4377,,30,13CCSS
OTU.4374,,30,13CCSS
OTU.4375,,30,13CCSS
OTU.4569,0.02517570400869995,30,13CCSS
OTU.1335,-0.02594607273592442,30,13CCSS
OTU.1334,-0.006645187359102467,30,13CCSS
OTU.1337,0.0017089100017861902,30,13CCSS
OTU.1336,-0.004858778532797592,30,13CCSS
OTU.1331,-0.02902748414985168,30,13CCSS
OTU.4210,,30,13CCSS
OTU.1333,0.003715559425340631,30,13CCSS
OTU.1332,-0.01060480961908361,30,13CCSS
OTU.1339,-0.0001412636244046972,30,13CCSS
OTU.1338,0.022392574750880634,30,13CCSS
OTU.1043,0.0025077746519206467,30,13CCSS
OTU.1042,0.018089447644427326,30,13CCSS
OTU.1041,-0.03399121691359874,30,13CCSS
OTU.1040,-0.012798934470299894,30,13CCSS
OTU.1047,-0.007332828869842434,30,13CCSS
OTU.1046,0.008223307098727428,30,13CCSS
OTU.1045,-0.01682673391881595,30,13CCSS
OTU.1044,-0.014549746607962932,30,13CCSS
OTU.5298,-0.0023555427671606566,30,13CCSS
OTU.5299,0.0387949883820502,30,13CCSS
OTU.5296,,30,13CCSS
OTU.5297,,30,13CCSS
OTU.5294,,30,13CCSS
OTU.5295,,30,13CCSS
