sparsity_threshold,Day,Treatment,OTU,log2FoldChange,p,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,padj
0.55,30,SS,OTU.2262,1.599781038,0.024769699,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_bacterium,NA,NA,NA,0.340314131
0.55,30,SS,OTU.354,-0.898075013,0.999984923,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_bacterium,NA,NA,NA,1
0.55,30,SS,OTU.466,-0.347149606,0.99641507,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_bacterium,NA,NA,NA,1
0.55,30,SS,OTU.1477,0.722009374,0.52607309,Bacteria,Planctomycetes,Phycisphaerae,mle1-8,uncultured_bacterium,NA,NA,NA,1
0.55,30,SS,OTU.932,0.040459738,0.967507721,Bacteria,Planctomycetes,Pla4_lineage,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.1006,0.045910045,0.969467053,Bacteria,Planctomycetes,Pla4_lineage,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.47,-1.194152277,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_bacterium,NA,1
0.55,30,SS,OTU.173,-0.748457212,0.999951577,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_bacterium,NA,1
0.55,30,SS,OTU.124,-0.192203082,0.998945162,Bacteria,Acidobacteria,DA023,uncultured_Acidobacteria_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.111,0.138465439,0.971061591,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.211,0.011048073,0.975657178,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.540,-0.784548635,0.999996711,Bacteria,Acidobacteria,DA023,NA,NA,NA,NA,NA,1
0.55,30,SS,OTU.3988,-1.215860514,0.999999688,Bacteria,Acidobacteria,DA023,NA,NA,NA,NA,NA,1
0.55,30,SS,OTU.1503,-0.241545002,0.996229451,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.108,-0.46912846,0.999409142,Bacteria,Acidobacteria,DA023,uncultured_Acidobacteria_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.2013,-0.21418934,0.9972677,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.118,-0.376465366,0.998617842,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.328,-0.39414407,0.999833475,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.168,-0.411793241,0.999603264,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.178,-0.701953701,0.999969525,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.332,0.037451744,0.974615308,Bacteria,Acidobacteria,DA023,uncultured_Acidobacteria_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.4973,-1.227054342,0.999999286,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.5706,-1.178361631,0.99999992,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.253,-0.635465159,0.999871745,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.146,-0.810076579,0.999994649,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.128,-1.358805652,0.999999982,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.3616,-1.364622474,0.999999999,Bacteria,Acidobacteria,DA023,NA,NA,NA,NA,NA,1
0.55,30,SS,OTU.5978,-1.090820024,0.999999999,Bacteria,Acidobacteria,DA023,NA,NA,NA,NA,NA,1
0.55,30,SS,OTU.36,-1.58118998,1,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.1800,-1.369326911,0.999999998,Bacteria,Acidobacteria,DA023,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.536,-1.415577552,0.999999999,Bacteria,Acidobacteria,DA023,NA,NA,NA,NA,NA,1
0.55,30,SS,OTU.413,-1.168287837,0.999999983,Bacteria,Acidobacteria,DA023,uncultured_Acidobacteria_bacterium,NA,NA,NA,NA,1
