usearch v7.0.1090_i86linux32, 4.0Gb RAM (132Gb total), 40 cores
usearch -fastq_stats data/ABCD_combined_reads.fastq -log data/fastq_stats.log 
Started Thu Jan 16 08:25:28 2014

Read length distribution
      L           N      Pct   AccPct
   14   100.0%  39.2  0.00013  0.000425   0.00   0.000292    0.029%
   15   100.0%  39.2  0.00013  0.000425   0.00   0.000301    0.030%
   16   100.0%  39.2  0.00013  0.000398   0.00   0.000307    0.031%
   17   100.0%  39.1  0.00013   0.00047   0.01   0.000316    0.032%
   18   100.0%  38.8  0.00013   0.00062   0.01   0.000333    0.033%
   19   100.0%  38.3  0.00016  0.000925   0.01   0.000364    0.036%
   20   100.0%  37.8  0.00016   0.00171   0.01   0.000432    0.043%
   21   100.0%  34.6  0.00032    0.0022   0.01   0.000516    0.052%
   22   100.0%  33.1   0.0005   0.00287   0.01   0.000623    0.062%
   23   100.0%  33.0   0.0005   0.00298   0.02   0.000725    0.073%
   24   100.0%  33.1   0.0005   0.00297   0.02   0.000819    0.082%
   25   100.0%  36.4  0.00025   0.00209   0.02   0.000870    0.087%
   26   100.0%  36.7   0.0002   0.00181   0.02   0.000906    0.091%
   27   100.0%  37.4   0.0002   0.00145   0.03   0.000926    0.093%
   28   100.0%  38.6  0.00013  0.000936   0.03   0.000927    0.093%
   29   100.0%  38.5  0.00013  0.000944   0.03   0.000927    0.093%
   30   100.0%  38.6  0.00013  0.000826   0.03   0.000924    0.092%
   31   100.0%  38.7  0.00013  0.000776   0.03   0.000919    0.092%
   32   100.0%  38.8  0.00013  0.000708   0.03   0.000912    0.091%
   33   100.0%  38.3  0.00016  0.000958   0.03   0.000914    0.091%
   34   100.0%  38.3  0.00016     0.001   0.03   0.000916    0.092%
   35   100.0%  38.3  0.00016  0.000957   0.03   0.000918    0.092%
   36   100.0%  38.7  0.00013  0.000794   0.03   0.000914    0.091%
   37   100.0%  37.3   0.0002    0.0012   0.03   0.000922    0.092%
   38   100.0%  37.3   0.0002   0.00124   0.04   0.000930    0.093%
   39   100.0%  37.4   0.0002   0.00119   0.04   0.000937    0.094%
   40   100.0%  38.9  0.00013    0.0007   0.04   0.000931    0.093%
   41   100.0%  38.9  0.00013  0.000754   0.04   0.000927    0.093%
   42   100.0%  38.6  0.00013  0.000708   0.04   0.000922    0.092%
   43   100.0%  31.9  0.00063   0.00228   0.04   0.000953    0.095%
   44   100.0%  31.6  0.00063   0.00254   0.04   0.000989    0.099%
   45   100.0%  31.5  0.00063   0.00263   0.05   0.001026    0.103%
   46   100.0%  31.7  0.00063    0.0025   0.05   0.001058    0.106%
   47   100.0%  38.2  0.00016   0.00126   0.05   0.001062    0.106%
   48   100.0%  38.2  0.00016   0.00115   0.05   0.001064    0.106%
   49   100.0%  38.8  0.00013  0.000853   0.05   0.001059    0.106%
   50   100.0%  38.7  0.00013  0.000816   0.05   0.001055    0.105%
   51   100.0%  37.0   0.0002   0.00119   0.05   0.001057    0.106%
   52   100.0%  36.9   0.0002   0.00124   0.06   0.001061    0.106%
   53   100.0%  37.0   0.0002   0.00119   0.06   0.001063    0.106%
   54   100.0%  38.9  0.00013  0.000738   0.06   0.001057    0.106%
   55   100.0%  39.1  0.00013  0.000667   0.06   0.001050    0.105%
   56   100.0%  39.1  0.00013  0.000688   0.06   0.001043    0.104%
   57   100.0%  39.1  0.00013  0.000639   0.06   0.001036    0.104%
   58   100.0%  39.1  0.00013  0.000578   0.06   0.001028    0.103%
   59   100.0%  39.2  0.00013  0.000554   0.06   0.001020    0.102%
   60   100.0%  39.3  0.00013  0.000545   0.06   0.001012    0.101%
   61    99.9%  39.3  0.00013  0.000536   0.06   0.001004    0.100%
   62    99.9%  39.3  0.00013  0.000515   0.06   0.000997    0.100%
   63    99.9%  39.3  0.00013  0.000546   0.06   0.000989    0.099%
   64    99.9%  39.3  0.00013  0.000549   0.06   0.000982    0.098%
   65    99.9%  39.3  0.00013  0.000537   0.06   0.000976    0.098%
   66    99.9%  39.3  0.00013  0.000524   0.06   0.000969    0.097%
   67    99.9%  39.2  0.00013   0.00056   0.06   0.000962    0.096%
   68    99.9%  39.2  0.00013  0.000646   0.07   0.000958    0.096%
   69    99.9%  39.1  0.00013   0.00064   0.07   0.000953    0.095%
   70    99.9%  38.9  0.00013  0.000736   0.07   0.000950    0.095%
   71    99.9%  38.8  0.00013  0.000809   0.07   0.000948    0.095%
   72    99.9%  38.6  0.00013  0.000903   0.07   0.000947    0.095%
   73    99.9%  38.6  0.00013  0.000974   0.07   0.000948    0.095%
   74    99.9%  38.5  0.00016   0.00102   0.07   0.000949    0.095%
   75    99.9%  38.4  0.00016   0.00107   0.07   0.000950    0.095%
   76    99.9%  37.9  0.00016   0.00121   0.07   0.000953    0.095%
   77    99.9%  37.9  0.00016   0.00125   0.07   0.000957    0.096%
   78    99.9%  37.9  0.00016   0.00127   0.07   0.000961    0.096%
